CODE;DATE;BREVETS
BD;2011-01-01;6803
BD;2012-01-01;7157
BD;2013-01-01;7460
BD;2014-01-01;7753
BD;2015-01-01;8093
BD;2016-01-01;8437
BD;2017-01-01;8739
BD;2018-01-01;9107
BB;1980-01-01;44
BB;1981-01-01;82
BB;1982-01-01;82
BB;1983-01-01;82
BB;1984-01-01;120
BB;1985-01-01;120
BB;1986-01-01;120
BB;1987-01-01;120
BB;1988-01-01;120
BB;1989-01-01;120
BB;1990-01-01;120
BB;1991-01-01;120
BB;1992-01-01;120
BB;1993-01-01;120
BB;1994-01-01;120
BB;1995-01-01;120
BB;1996-01-01;120
BB;1997-01-01;120
BB;1998-01-01;120
BB;1999-01-01;188
BB;2000-01-01;188
BB;2001-01-01;273
BB;2002-01-01;366
BB;2003-01-01;489
BB;2004-01-01;569
BB;2005-01-01;645
BB;2006-01-01;689
BB;2007-01-01;801
BB;2008-01-01;886
BB;2009-01-01;965
BB;2010-01-01;1053
BB;2011-01-01;1124
BB;2012-01-01;1160
BB;2013-01-01;1202
BB;2014-01-01;1241
BB;2015-01-01;1286
BB;2016-01-01;1327
BB;2017-01-01;1327
BB;2018-01-01;1327
BY;1980-01-01;0
BY;1981-01-01;0
BY;1982-01-01;0
BY;1983-01-01;0
BY;1984-01-01;0
BY;1985-01-01;0
BY;1986-01-01;0
BY;1987-01-01;0
BY;1988-01-01;0
BY;1989-01-01;0
BY;1990-01-01;0
BY;1991-01-01;0
BY;1992-01-01;0
BY;1993-01-01;1494
BY;1994-01-01;3182
BY;1995-01-01;4221
BY;1996-01-01;5280
BY;1997-01-01;6446
BY;1998-01-01;7435
BY;1999-01-01;8773
BY;2000-01-01;9971
BY;2001-01-01;11115
BY;2002-01-01;12389
BY;2003-01-01;13769
BY;2004-01-01;15034
BY;2005-01-01;16496
BY;2006-01-01;18021
BY;2007-01-01;19683
BY;2008-01-01;21413
BY;2009-01-01;23339
BY;2010-01-01;25272
BY;2011-01-01;27143
BY;2012-01-01;29014
BY;2013-01-01;30648
BY;2014-01-01;31405
BY;2015-01-01;32096
BY;2016-01-01;32617
BY;2017-01-01;33141
BY;2018-01-01;33688
BE;1980-01-01;5969
BE;1981-01-01;10693
BE;1982-01-01;14551
BE;1983-01-01;17617
BE;1984-01-01;20452
BE;1985-01-01;22699
BE;1986-01-01;24827
BE;1987-01-01;26264
BE;1988-01-01;27676
BE;1989-01-01;29020
BE;1990-01-01;30276
BE;1991-01-01;31475
BE;1992-01-01;32649
BE;1993-01-01;34137
BE;1994-01-01;35327
BE;1995-01-01;36414
BE;1996-01-01;37500
BE;1997-01-01;38561
BE;1998-01-01;39500
BE;1999-01-01;40340
BE;2000-01-01;41160
BE;2001-01-01;41995
BE;2002-01-01;42743
BE;2003-01-01;43450
BE;2004-01-01;44086
BE;2005-01-01;44708
BE;2006-01-01;45359
BE;2007-01-01;45976
BE;2008-01-01;46684
BE;2009-01-01;47501
BE;2010-01-01;48261
BE;2011-01-01;49024
BE;2012-01-01;49906
BE;2013-01-01;50782
BE;2014-01-01;51808
BE;2015-01-01;52905
BE;2016-01-01;54078
BE;2017-01-01;55295
BE;2018-01-01;56405
BZ;1980-01-01;0
BZ;1981-01-01;0
BZ;1982-01-01;0
BZ;1983-01-01;0
BZ;1984-01-01;0
BZ;1985-01-01;0
BZ;1986-01-01;0
BZ;1987-01-01;0
BZ;1988-01-01;6
BZ;1989-01-01;13
BZ;1990-01-01;13
BZ;1991-01-01;13
BZ;1992-01-01;13
BZ;1993-01-01;13
BZ;1994-01-01;13
BZ;1995-01-01;13
BZ;1996-01-01;13
BZ;1997-01-01;13
BZ;1998-01-01;13
BZ;1999-01-01;13
BZ;2000-01-01;13
BZ;2001-01-01;13
BZ;2002-01-01;13
BZ;2003-01-01;13
BZ;2004-01-01;29
BZ;2005-01-01;62
BZ;2006-01-01;104
BZ;2007-01-01;152
BZ;2008-01-01;206
BZ;2009-01-01;206
BZ;2010-01-01;206
BZ;2011-01-01;255
BZ;2012-01-01;306
BZ;2013-01-01;338
BZ;2014-01-01;374
BZ;2015-01-01;400
BZ;2016-01-01;437
BZ;2017-01-01;437
BZ;2018-01-01;461
BT;1980-01-01;0
BT;1981-01-01;0
BT;1982-01-01;0
BT;1983-01-01;0
BT;1984-01-01;0
BT;1985-01-01;0
BT;1986-01-01;0
BT;1987-01-01;0
BT;1988-01-01;0
BT;1989-01-01;0
BT;1990-01-01;0
BT;1991-01-01;0
BT;1992-01-01;0
BT;1993-01-01;0
BT;1994-01-01;0
BT;1995-01-01;0
BT;1996-01-01;0
BT;1997-01-01;0
BT;1998-01-01;0
BT;1999-01-01;0
BT;2000-01-01;0
BT;2001-01-01;0
BT;2002-01-01;0
BT;2003-01-01;0
BT;2004-01-01;0
BT;2005-01-01;0
BT;2006-01-01;0
BT;2007-01-01;0
BT;2008-01-01;0
BT;2009-01-01;0
BT;2010-01-01;0
BT;2011-01-01;0
BT;2012-01-01;4
BT;2013-01-01;11
BT;2014-01-01;11
BT;2015-01-01;19
BT;2016-01-01;24
BT;2017-01-01;27
BT;2018-01-01;27
BO;1980-01-01;125
BO;1981-01-01;257
BO;1982-01-01;364
BO;1983-01-01;445
BO;1984-01-01;503
BO;1985-01-01;549
BO;1986-01-01;549
BO;1987-01-01;549
BO;1988-01-01;549
BO;1989-01-01;549
BO;1990-01-01;549
BO;1991-01-01;549
BO;1992-01-01;549
BO;1993-01-01;637
BO;1994-01-01;754
BO;1995-01-01;877
BO;1996-01-01;877
BO;1997-01-01;877
BO;1998-01-01;877
BO;1999-01-01;877
BO;2000-01-01;877
BO;2001-01-01;877
BO;2002-01-01;877
BO;2003-01-01;877
BO;2004-01-01;877
BO;2005-01-01;877
BO;2006-01-01;877
BO;2007-01-01;877
BO;2008-01-01;877
BO;2009-01-01;877
BO;2010-01-01;877
BO;2011-01-01;877
BO;2012-01-01;877
BO;2013-01-01;877
BO;2014-01-01;1180
BO;2015-01-01;1180
BO;2016-01-01;1433
BO;2017-01-01;1769
BO;2018-01-01;1769
BA;1980-01-01;0
BA;1981-01-01;0
BA;1982-01-01;0
BA;1983-01-01;0
BA;1984-01-01;0
BA;1985-01-01;0
BA;1986-01-01;0
BA;1987-01-01;0
BA;1988-01-01;0
BA;1989-01-01;0
BA;1990-01-01;0
BA;1991-01-01;0
BA;1992-01-01;0
BA;1993-01-01;0
BA;1994-01-01;0
BA;1995-01-01;0
BA;1996-01-01;0
BA;1997-01-01;0
BA;1998-01-01;0
BA;1999-01-01;128
BA;2000-01-01;401
BA;2001-01-01;762
BA;2002-01-01;762
BA;2003-01-01;1036
BA;2004-01-01;1432
BA;2005-01-01;1804
BA;2006-01-01;2021
BA;2007-01-01;2021
BA;2008-01-01;2092
BA;2009-01-01;2092
BA;2010-01-01;2157
BA;2011-01-01;2212
BA;2012-01-01;2228
BA;2013-01-01;2257
BA;2014-01-01;2300
BA;2015-01-01;2300
BA;2016-01-01;2366
BA;2017-01-01;2465
BA;2018-01-01;2561
BW;1980-01-01;18
BW;1981-01-01;52
BW;1982-01-01;81
BW;1983-01-01;81
BW;1984-01-01;81
BW;1985-01-01;81
BW;1986-01-01;81
BW;1987-01-01;81
BW;1988-01-01;81
BW;1989-01-01;81
BW;1990-01-01;81
BW;1991-01-01;81
BW;1992-01-01;81
BW;1993-01-01;81
BW;1994-01-01;81
BW;1995-01-01;81
BW;1996-01-01;81
BW;1997-01-01;81
BW;1998-01-01;81
BW;1999-01-01;81
BW;2000-01-01;81
BW;2001-01-01;81
BW;2002-01-01;81
BW;2003-01-01;81
BW;2004-01-01;81
BW;2005-01-01;81
BW;2006-01-01;81
BW;2007-01-01;81
BW;2008-01-01;81
BW;2009-01-01;81
BW;2010-01-01;81
BW;2011-01-01;90
BW;2012-01-01;104
BW;2013-01-01;113
BW;2014-01-01;122
BW;2015-01-01;130
BW;2016-01-01;137
BW;2017-01-01;144
BW;2018-01-01;147
BR;1980-01-01;8377
BR;1981-01-01;16661
BR;1982-01-01;24339
BR;1983-01-01;31541
BR;1984-01-01;38260
BR;1985-01-01;44779
BR;1986-01-01;51047
